章,名称,国名,登録基準,特殊遺産,時代・王朝,民族,人,生物,構成資産,建築・絵画の様式,特徴
帝国系,要塞教会のあるトランシルヴァニアの村落,ルーマニア,(ⅳ),,,ザクセン人,,,,,三重の防壁をめぐらしたピエルタンの要塞教会
帝国系,ブルサとジュマルクズク：オスマン帝国発祥の地,トルコ,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,,,モスクやマドラサハマム貧者向けの台所からなる複合施設キュリエが残る
帝国系,ヴィシェグラードのメフメド・パシャ・ソコロヴィッチ橋,ボスニア・ヘルツェゴビナ,(ⅱ)(ⅳ),,,,ミマール・スィナン,,,,
帝国系,ベラトとギロカストラの歴史地区,アルバニア,(ⅲ)(ⅳ),,,,,,,,イタリア語で小塔を意味するタレットが特徴
帝国系,グレート・ブルカン・カルドゥン山と周辺の聖なる景観,モンゴル,(ⅳ)(ⅵ),,,,チンギス・ハン,,,,
帝国系,オルホン渓谷の文化的景観,モンゴル,(ⅱ)(ⅲ)(ⅳ),,,,,,,,モンゴル帝国の首都カラコルムの遺跡が残る
帝国系,『八萬大蔵経』版木所蔵の海印寺,韓国,(ⅳ)(ⅵ),,,,,,,,蔵経板殿は湿気や劣化を防ぐため床板を敷いていない
帝国系,ウラジーミルとスーズダリの白い建造物群,ロシア,(ⅰ)(ⅱ)(ⅳ),,,,,,ウスペンスキー大聖堂,,
帝国系,カザン・クレムリンの歴史的建造物群,ロシア,(ⅱ)(ⅲ)(ⅳ),,,,,,"シュユンベキ塔
 ブラゴヴェシェンスキー大聖堂",イスラムとロシア正教の影響を受けた歴史的建築物,
帝国系,ボルガルの歴史的考古学的遺産群,ロシア,(ⅱ)(ⅵ),,ヴォルガ・ボルガル文明,,,,,,
大英帝国,オーストラリアの囚人収容所遺跡群,オーストラリア,(ⅳ)(ⅵ),負の遺産,,,,,"カスケーズ女子工場
 ソルトウォーター・リヴァーの炭鉱跡",,"囚人の労働力を利用した植民地開拓
 先住民であるアボリジニは居住地を追われる"
大英帝国,王立展示館とカールトン庭園,オーストラリア,(ⅱ),,,,,,,"ビザンツ様式
 ロマネスク様式
 ルネサンス様式",万国博覧会の展示会場
大英帝国,ソルテア,イギリス,(ⅱ)(ⅳ),,,,,,,,父子主義（パターナリズム）の精神に基づき労働者を保護した
大英帝国,ヴィクトリアの滝（モシ・オ・トゥニャ）,ザンビア及びジンバブエ,(ⅶ)(ⅷ),,,,リヴィングストン,,,,轟音を響かせる水煙
大英帝国,ルーネンバーグの旧市街,カナダ,(ⅳ)(ⅴ),,,,,,,ヴィクトリア朝建築,現地を知らない役人がロンドンの机上で都市計画をつくり上げた
大英帝国,レブカ歴史的港湾都市,フィジー,(ⅱ)(ⅳ),,,,,,,,オバラウ島にあるフィジー植民地の最初の首都
大英帝国,ガーナのベナン湾沿いの城塞群,ガーナ,(ⅵ),負の遺産,,,,,,,黄金海岸
大英帝国,バミューダ諸島：歴史的都市セント・ジョージと関連遺産群,イギリス,(ⅳ),,,,,,セント・ピーターズ教会,,
大英帝国,アンティグアの海軍造船所と関連考古遺跡群,アンティグア・バーブーダ,(ⅱ)(ⅳ),,,,,,,,ハリケーンの被害を和らげる自然のシェルター
大英帝国,歴史都市ブリッジタウンとその要塞,バルバドス,(ⅱ)(ⅲ)(ⅳ),,,,,,,,街路は不規則に配置されている
大航海都市と植民都市,セビーリャの大聖堂、アルカサル、インディアス古文書館,スペイン,(ⅰ)(ⅱ)(ⅲ)(ⅵ),,,,,,"クリストファー・コロンブスの墓
 ヒラルダの塔",ムデハル様式,ヨーロッパとイスラムが融合した
大航海都市と植民都市,ポルトの歴史地区、ルイス1世橋とセラ・ド・ピラール修道院,ポルトガル,(ⅳ),,,,エンリケ航海王子,,"フェルナンド王の市壁
 ポルト大聖堂
 ドン・ルイス1世橋",,
大航海都市と植民都市,リスボンのジェロニモス修道院とベレンの塔,ポルトガル,(ⅲ)(ⅵ),,,,"ヴァスコ・ダ・ガマ
 エンリケ航海王子",,,マヌエル様式,危険な航海に乗り出す船乗りたちの心のよりどころとして建立
大航海都市と植民都市,サン・クリストバル・デ・ラ・ラグナ,スペイン,(ⅱ)(ⅳ),,,,,,,,"植民地政策のモデルになった都市
 要塞を持たない最初の都市
 レオナルド・ダ・ヴィンチが構想したイタリアのイモラの都市計画を当時の軍政府長官がこの地の都市計画に採用した"
大航海都市と植民都市,サルヴァドル・デ・バイアの歴史地区,ブラジル,(ⅳ)(ⅵ),,,,,,,,"ポルトガル領ブラジルの首都
 新大陸の奴隷市場"
大航海都市と植民都市,プエブラの歴史地区,メキシコ,(ⅱ)(ⅳ),,,,,,ロザリオの聖母礼拝堂,バロック様式,アズレージョ
大航海都市と植民都市,コロとその港,ベネズエラ・ボリバル,(ⅳ)(ⅴ),危機遺産,,,,,太陽の家,バロック様式,太陽の家
大航海都市と植民都市,パラマリボの歴史街区,スリナム,(ⅱ)(ⅳ),,,,,,,,クレオール文化
大航海都市と植民都市,海港都市バルパライソの歴史地区,チリ,(ⅲ),,,,,,サンド・ドミンゴの丘,,
大航海都市と植民都市,シエンフエゴスの歴史地区,キューバ,(ⅱ)(ⅳ),,,,,,,新古典主義,
大航海都市と植民都市,ビガンの歴史地区,フィリピン,(ⅱ)(ⅳ),,,,,,,,石と木を組み合わせた家屋はタガログ語でバハイ・ナ・バトと呼ばれる
大航海都市と植民都市,マカオの歴史地区,中国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,"聖ポール大聖堂
 ギア灯台
 聖ヨセフ修道院",,
歴史上の人物,始皇帝陵と兵馬俑坑,中国,(ⅰ)(ⅲ)(ⅳ)(ⅵ),,秦王朝,,,,"始皇帝の陵墓
 兵馬俑坑",,"史記に「天井には天文の絵を描き床には水銀を流して川や海をつくった」
 陪葬坑"
歴史上の人物,泰山,中国,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅴ)(ⅵ)(ⅶ),,,,,,,,秦の始皇帝が封禅という儀式をはじめ後の皇帝は岱山で行った
歴史上の人物,万里の長城,中国,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,,,,"北方の民族に備えるための城壁
 長城を挟んで異民族同士の文化交流や交易などが行われた"
歴史上の人物,グアナフアトの歴史地区と鉱山,メキシコ,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,フェリペ2世,,バレンシアナ教会堂,ウルトラ・バロック様式,
歴史上の人物,サン・ペドロ・デ・ラ・ロカ城,キューバ,(ⅳ)(ⅴ),,,,フアン・バッティスタ・アントネッリ,,,ルネサンス様式,
歴史上の人物,エル・スコリアール修道院と王立施設,スペイン,(ⅰ)(ⅱ)(ⅵ),,,,聖ラウレンティウス,,,,王立の複合施設
歴史上の人物,アルマデンとイドリア：水銀鉱山の遺跡,スペイン及びスロベニア,(ⅱ)(ⅳ),,,,,,,,"アマルガム法
 近年まで世界最大だった水銀鉱山"
歴史上の人物,ポトシの市街,ボリビア,(ⅱ)(ⅳ)(ⅵ),,,,,,,メスティソ様式,"アマルガム法
 17世紀半ばまでの約100年間で世界の銀産出量の半分を産出"
歴史上の人物,モンバサのフォート・ジーザス,ケニア,(ⅱ)(ⅴ),,,,,,,,ルネサンスの理念を反映した
歴史上の人物,シェーンブルン宮殿と庭園,オーストリア,(ⅰ)(ⅳ),,,,フィッシャー・フォン・エアラッハ,,,,"マリア・テレジア
 ウィーン会議"
歴史上の人物,ヴロツワフの百周年記念ホール,ポーランド,(ⅰ)(ⅱ)(ⅳ),,,,マックスベルク,,,,ローマの円形闘技場を模したドーム
歴史上の人物,ミール城と関連遺産群,ベラルーシ,(ⅱ)(ⅳ),,,,,,,,イリイニチ家が創建したときはゴシック建築
歴史上の人物,ビリニュスの歴史地区,リトアニア,(ⅱ)(ⅳ),,,,,,聖アンナ聖堂,,
歴史上の人物,フォンテーヌブロー宮殿と庭園,フランス,(ⅱ)(ⅵ),,,,フランソワ1世,,"回廊
 舞踊の間
 別れの中庭",,
墓地・埋葬,アリカ・イ・パリナコータ州におけるチンチョーロ文化の集落と人工ミイラ製造技術,チリ,(ⅲ)(ⅴ),,,,,,,,"アタカマ砂漠は世界で最も乾燥した地域の1つ
 黒いマンガンで彩色された黒ミイラや酸化鉄由来の赤ミイラがある
 性別や社会階層を問わず乳幼児を含むさまざまな遺体がミイラ処理を施された"
墓地・埋葬,ハル・サフリエニの地下墳墓,マルタ,(ⅲ),,,古代マルタ人,,,,,38ある石室から約7000体もの人骨が見つかった
墓地・埋葬,シラクサとパンタリカの岩壁墓地遺跡,イタリア,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,地中海文明,,キケロ,,,,キケロ「あらゆるギリシャ都市の中で最も美しい」
墓地・埋葬,ケルナヴェ古代遺跡（ケルナヴェ文化保護区）,リトアニア,(ⅲ)(ⅳ),,,,,,,,定住がはじまったとされる旧石器時代後期から中世までの要塞や居住集落などまで幅がある
墓地・埋葬,ヒロキティアの考古遺跡,キプロス,(ⅱ)(ⅲ)(ⅳ),,新石器時代,,,,,,
墓地・埋葬,青銅器時代のサンマルラハデンマキ墓群,フィンランド,(ⅲ)(ⅳ),,,,,,フルート長石塚,,
墓地・埋葬,チェルヴェテリとタルクィニアのエトルリア古代古墳群,イタリア,(ⅰ)(ⅲ)(ⅳ),,,エトルリア人,,,バンディタッチャ墳墓,,
墓地・埋葬,古代カルタゴ都市ケルクアンとそのネクロポリス,チュニジア,(ⅲ),,,,,,,,第一次ポエニ戦争でローマ人によって再建されなかった
墓地・埋葬,カザンラクのトラキア人の古墳,ブルガリア,(ⅰ)(ⅲ)(ⅳ),,,,,,,,色鮮やかな天井画
墓地・埋葬,スヴェシュタリのトラキア人の古墳,ブルガリア,(ⅰ)(ⅲ),,,,,,,,トラキア文化とヘレニズム文化の融合を示している
墓地・埋葬,ナン・マトール：ミクロネシア東部の儀礼的中心地,ミクロネシア,(ⅰ)(ⅲ)(ⅳ)(ⅵ),危機遺産,サウデルール朝,,,,,,古代につくられた100以上の人工島をナン・マトールと呼ぶ
墓地・埋葬,スクーグスシルコゴーデンの森林墓地,スウェーデン,(ⅱ)(ⅳ),,,,エリック・グンナル・アスブルンド,,"森の火葬場
 信仰の礼拝堂
 聖十字架の礼拝堂",,不規則な自然を取り入れる設計概念
墓地・埋葬,ハルシュタット＝ダッハシュタイン/ザルツカンマーグートの文化的景観,オーストリア,(ⅲ)(ⅳ),文化的景観,,,,,,,"数千年にわたる岩塩の採掘がおこなわれている
 ハルシュタット文化"
墓地・埋葬,イェリング墳墓、ルーン石碑と教会,デンマーク,(ⅲ),,,ゲルマン人,,,,,ルーン文字
墓地・埋葬,ステチュツィ：中世の墓碑の残る墓所,クロアチア/セルビア/ボスニア・ヘルツェゴビナ/モンテネグロ,(ⅲ)(ⅵ),,,,,,,,中世ヨーロッパやまたこの地方に特有の図像
墓地・埋葬,ベート・シェアリムのネクロポリス：ユダヤ人再興の中心地,イスラエル,(ⅱ)(ⅲ),,,,,,,,ユダヤ教徒の墓地
墓地・埋葬,ドシェビーチのユダヤ人街とプロコピウス聖堂,チェコ,(ⅱ)(ⅲ),,,,,,プロコピウス聖堂,,
墓地・埋葬,ペーチ（ソピアエナ）の初期キリスト教墓所,ハンガリー,(ⅲ)(ⅳ),,,,,,,,聖書をモチーフにした壁画
墓地・埋葬,ヤズドの歴史都市,イラン・イスラム,(ⅲ)(ⅴ),,,,,,,,"カナートやバードギールが砂漠で限られた資源を使って生存してきたことを示す例
 イスラム教・ユダヤ教・ゾロアスター教たちが平和に共存している"
伝統的な暮らし,カカドゥ国立公園,オーストラリア,(ⅰ)(ⅵ)(ⅶ)(ⅸ)(ⅹ),,,,,,オビリ・ロック,,"オーストラリア最大の国立公園
 アボリジニ独特のX線画法"
伝統的な暮らし,ンゴロンゴロ自然保護区,タンザニア,(ⅳ)(ⅶ)(ⅷ)(ⅸ)(ⅹ),,,マサイ族,,,"ンゴロンゴロ・クレーター
 オルドゥヴァイ渓谷",,
伝統的な暮らし,リヒタースフェルドの文化的及び植物学的景観,南アフリカ,(ⅳ)(ⅴ),文化的景観,,ナマ族,,,,,ハル・オムという移動式住居
伝統的な暮らし,トンガリロ国立公園,ニュージーランド,(ⅵ)(ⅶ)(ⅷ),文化的景観,,,,,"トンガリロ山
 ナウルホエ山
 ルアペフ山",,"マオリの聖地
 ニュージーランド初の国立公園"
伝統的な暮らし,アーシヴィスイトからニピサット：氷と海の間に広がるイヌイットの狩猟場,デンマーク,(ⅴ),文化的景観,,,パレオ・イヌイット,,,,
伝統的な暮らし,サーメ人地域,スウェーデン,(ⅲ)(ⅴ)(ⅶ)(ⅷ)(ⅸ),,,,,,,,"4つの国立公園と2つの国立自然保護区
 ラップランドにいるサーメ人のうち一部はトナカイの放牧で生活を続けている"
伝統的な暮らし,ピマチオウィン・アキ,カナダ,(ⅲ)(ⅵ)(ⅸ),文化的景観,,アニシナアベ族,,,,,文化と自然との調和が評価
伝統的な暮らし,コマニの文化的景観,南アフリカ,(ⅴ)(ⅵ),文化的景観,,サン族,,,,,
伝統的な暮らし,オカピの野生動物保護区,コンゴ民主,(ⅹ),危機遺産,,,ヘンリー・ジョンストン,,,,
伝統的な暮らし,バジ・ビムの文化的景観,オーストラリア,(ⅲ)(ⅴ),文化的景観,,,,,,,世界最古の水産養殖地
伝統的な暮らし,ロレンツ国立公園,インドネシア,(ⅷ)(ⅸ)(ⅹ),,,,,ミユビハリモグラ,,,
伝統的な暮らし,紅川ハニ族棚田群の文化的景観,中国,(ⅲ)(ⅴ),文化的景観,,,,,,,"赤米を作る棚田と伝統的な生活を守り続ける
 森林・水系・棚田・村を利用して独自の灌漑システムを持つ"
伝統的な暮らし,メイマンドの文化的景観,イラン・イスラム,(ⅴ),文化的景観,,,,,,,移牧
伝統的な暮らし,要塞村アイット・ベン・ハドゥ,モロッコ,(ⅳ)(ⅵ),,,ベルベル人,,,,,クサールと呼ばれる要塞村の1つ
伝統的な暮らし,福建土楼群,中国,(ⅲ)(ⅳ)(ⅴ),,,客家,,,,,
伝統的な暮らし,タオス・プエブロの伝統的集落,アメリカ,(ⅳ),,,タオス・プエブロ族,,,,,
伝統的な暮らし,クタマク：バタマリバ人の土地,トーゴ及びベナン,(ⅴ)(ⅵ),文化的景観,,,,,,,タキエンタと呼ばれる泥で築かれた搭状の住居
伝統的な暮らし,アシャンティ族の伝統的建造物群,ガーナ,(ⅴ),,,,,,,,ニャメ神を祀る
伝統的な暮らし,河回村と良洞村の歴史的集落群,韓国,(ⅲ)(ⅳ),,,,,,,,韓国におけるもっと歴史的かつ代表的な氏族村である
伝統的な暮らし,ヴルコリニェツの伝統的集落,スロバキア,(ⅳ)(ⅴ),,,,,,,,オオカミ狩りの猟師たちが住む村
伝統的な暮らし,ホラショヴィツェの歴史的集落,チェコ,(ⅱ)(ⅳ),,,,,,ヴィシー・ブロト修道院,,
伝統的な暮らし,アルベロベッロのトゥルッリ,イタリア,(ⅲ)(ⅳ)(ⅴ),,,,,,,,石灰石を用いた独自の建築が発達していた
文学,サンクト・ペテルブルクの歴史地区と関連建造物群,ロシア,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,ピョートル大帝,,"ペトロパヴロフスク要塞
 エルミタージュ美術館
 メンシコフ宮殿",バロック様式,ドストエフスキー「罪と罰」
文学,ミケーネとティリンスの考古遺跡,ギリシャ,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,シュリーマン,,,,ホメロスの叙事詩「イリアス」や「オデュッセイア」
文学,クロンボー城,デンマーク,(ⅳ),,,,,,,,シェイクスピア「ハムレット」
文学,ヴェローナ城,イタリア,(ⅱ)(ⅳ),,,,,,,,シェイクスピア「ロミオとジュリエット」
文学,蘇州の園林,中国,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅴ),,,,,,拙政園,,官僚や豪商文人が私的に築いた
文学,峨眉山と楽山大仏,中国,(ⅳ)(ⅵ)(ⅹ),,,,,アジアゴールデンキャット,,,"李白「峨眉山月歌」芥川龍之介「杜子春」
 世界最大の磨崖仏"
文学,シギショアラの歴史地区,ルーマニア,(ⅲ)(ⅴ),,,トランシルヴァニア・ザクセン人,,,,,「吸血鬼ドラキュラ」のモデルとなったヴラド3世の生家
文学,キリマンジャロ国立公園,タンザニア,(ⅶ),,,,,,,,"成層火山
 垂直分布"
文学,英国の湖水地方,イギリス,(ⅱ)(ⅳ)(ⅵ),文化的景観,,,,,,,ビアトリクス・ポター「ピーターラビットのおはなし」
文学,ヴァイマール古典主義文化,ドイツ,(ⅲ)(ⅵ),,,,ヨハン・ヴォルフガング・フォン・ゲーテ,,,,
文学,リヨンの歴史地区,フランス,(ⅱ)(ⅵ),,,,,,,,アントワーヌ・ドゥ・サン・テグジュリペ「星の王子さま」
文学,アウシュビッツ・ビルケナウ：ナチス・ドイツの強制絶滅収容所（1940-1945）,ポーランド,(ⅵ),負の遺産,,,,,,,"オシフィエンチム
 劣等民族をドイツ本国内に入れないようにするためホロコーストが行われた
 プリーモ・レヴィ「これが人間か」"
文学,アムステルダム中心部：ジンフェルグラハト内部の17世紀の環状運河地区,オランダ,(ⅰ)(ⅱ)(ⅳ),,,,,,,,"ジンフェルグラハト
 アンネの日記
 大規模な都市計画の見本"
文学,イヴレーア：20世紀の産業都市,イタリア,(ⅳ),,,,,,,,"オリベッティ社
 コミュニティ運動"
文学,マウルブロンの修道院関連建造物群,ドイツ,(ⅱ)(ⅳ),,,,,,,ロマネスク様式,"ドイツで最初のシトー会修道院
 ラテン十字形プラン"
文学,クンタ・キンテ島と関連遺産群,ガンビア,(ⅲ)(ⅵ),負の遺産,,,,,"バレン要塞
 サン・ドミンゴの廃墟",,アレックス・ヘイリー「ルーツ」
音楽,プラハの歴史地区,チェコ,(ⅱ)(ⅳ)(ⅵ),,,,アルフォンス・ミュシャ,,聖ヴィート大聖堂,,"ボヘミア王カレル1世がカール4世として即位するとプラハは神聖ローマ帝国の首都となった
 ヴルタヴァ川"
音楽,ザルツブルク家の歴史地区,オーストリア,(ⅱ)(ⅳ)(ⅵ),,,,,,ホーエンザルツブルク城,,岩塩の採掘と交易によって栄えた宗教都市
音楽,ヨーロッパの大温泉都市群,イタリア/イギリス/オーストリア/チェコ/ドイツ/フランス/ベルギー,(ⅱ)(ⅲ),,,,"ゲーテ
 ベートーヴェン",,"カルロヴィ・ヴァリ
 バーデン・バイ・ウィーン
 ヴィシー・グアハウス",,
音楽,リトミシュル城,チェコ,(ⅱ)(ⅳ),,,,,,,,スメタナ「モルダウ」
音楽,ヴァルトブルク城,ドイツ,(ⅲ)(ⅵ),,,,,,,,ヴァーグナー「タンホイザー」
音楽,ザンジバル島のストーン・タウン,タンザニア,(ⅱ)(ⅲ)(ⅵ),負の遺産,,,,,,,スワヒリ文化
音楽,鼓浪嶼（コロンス島）：歴史的共同租界,中国,(ⅱ)(ⅳ),,,,,,,アモイ・デコ様式,外国人のための共同租界（国際共同租界）
音楽,アランフエスの文化的景観,スペイン,(ⅱ)(ⅳ),,,,,,,,ホアキン・ロドリーゴ「アラン・フエス協奏曲」
音楽,リオ・デ・ジャネイロ：山と海に囲まれたカリオカの景観,ブラジル,(ⅴ)(ⅵ),,,,,,,,コルコヴァードの丘もブラジル独立100周年を記念するキリスト像が立つ
音楽,バルセロナのカタルーニャ音楽堂とサン・パウ病院,スペイン,(ⅰ)(ⅱ)(ⅳ),,,,ルイス・ドメネク・イ・モンタネル,,,,
音楽,バイロイトの辺境伯オペラハウス,ドイツ,(ⅰ)(ⅳ),,,,"ジュゼッペ・ガッリ・ビビエーナ
 ヴィルヘルミーネ",,,バロック様式,
音楽,司教座都市アルビ,フランス,(ⅳ)(ⅴ),,,,,,"サント・セシール大聖堂
 ベルビー宮殿",,カタリ派（アルビジョワ派）の拠点の1つ
音楽,バレッタの市街,マルタ,(ⅰ)(ⅵ),,,,,,,,"聖ヨハネ騎士団
 カラバッジョ「執筆する聖ヒエロニムス」「洗礼者聖ヨハネの斬首」
 ジャン・バリソー・ド・ラ・バレッテにちなんだ都市"
音楽,パンプーリャの近代建造物群,ブラジル,(ⅰ)(ⅱ)(ⅳ),,,,オスカー・ニーマイヤー,,パンプーリャ美術,,
音楽,ヴァティカン市国,ヴァティカン,(ⅰ)(ⅱ)(ⅳ)(ⅵ),,,,,,"サン・ピエトロ大聖堂
 システィーナ礼拝堂",,ミケランジェロ「最後の審判」
音楽,ミラノのサンタ・マリア・デッレ・グラーツィエ修道院とレオナルド・ダ・ヴィンチの『最後の晩餐』,イタリア,(ⅰ)(ⅱ),,,,,,,,"ドミニコ会
 レオナルド・ダ・ヴィンチ「最後の晩餐」"
音楽,ウルビーノの歴史地区,イタリア,(ⅱ)(ⅳ),,,,ラファエロ・サンティ,,,,
音楽,ヴェルツブルクの司教館と庭園群,ドイツ,(ⅰ)(ⅳ),,,,,,,,シェーンボルン家
音楽,ストックレ邸,ベルギー,(ⅰ)(ⅱ),,,,ヨーゼフ・ホフマン,,,近現代建築,ゲザムトクンストヴェルグ
音楽,バウハウス関連遺産群：ヴァイマールとデッサウ、ベルナウ,ドイツ,(ⅱ)(ⅳ)(ⅵ),,,,ヴァルター・グロピウス,,,,"教授陣にパウル・クレーやヴァシリー・カンディンスキーなどが名を連ねた
 すべての造形活動の最終目標は完璧な建築にある"
映画,隊商都市ペトラ,ヨルダン,(ⅰ)(ⅲ)(ⅳ),,ナバテア王国,,,,,,"宝物庫を意味するエル・ハズネ
 シークと呼ばれる砂岩が侵食されて形成されたもの
 「インディー・ジョーンズ/最後の聖戦」"
映画,カゼルタの18世紀の王宮と庭園、ヴァンヴィテッリの水道橋、サン・レウチョの関連遺産,イタリア,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,ブルボン朝,,カルロス3世,,,,「スター・ウォーズ」
映画,武陵源：歴史的・景観的重要地区,中国,(ⅶ),,,,,チュウゴクオオサンショウウオ,,,「アバター」
映画,グウィネズのエドワード1世の城郭群,イギリス,(ⅰ)(ⅲ)(ⅳ),,,,エドワード1世,,,,「天空の城ラピュタ」
映画,北京と瀋陽の故宮,中国,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,,"紫禁城
 太和殿",,「ラストエンペラー」
映画,ダラム城と大聖堂,イギリス,(ⅱ)(ⅳ)(ⅵ),,,,,,,ノルマン様式,"「ハリー・ポッター」
 交差リブ・ヴォールトという独特な造り"
映画,スケリッグ・マイケル,アイルランド,(ⅲ)(ⅳ),,,,,,,,"「スター・ウォーズ：最後のジェダイ」
 ヨーロッパに現存する最古の修道院"
映画,ココス島国立公園,コスタリカ,(ⅸ)(ⅹ),,,,,ハンマーヘッド・シャークなどの軟骨魚類,,,"「ジュラシック・パーク」
 入島は厳しく制限されている"
映画,ヌビアの遺産群：アブ・シンベルからフィラエまで,エジプト,(ⅰ)(ⅲ)(ⅵ),,,,ラメセス2世,,,,「ナイル殺人事件」
映画,サン・ジミニャーノの歴史地区,イタリア,(ⅰ)(ⅲ)(ⅳ),,,,,,,,"「ムッソリーニとお茶を」
 皇帝派（ギベリン）と教皇派（ゲルフ）が内戦"
映画,マテーラの洞窟住居サッシと岩窟教会公園,イタリア,(ⅲ)(ⅳ)(ⅴ),,旧石器時代,,,,,,「007 NO TIME TO DIE」
映画,ドーセット及び東デヴォン海岸,イギリス,(ⅷ),,,,メアリー・アニング,イクチオサウルス,,,"「アンモナイトの目覚め」
 約1億8500万年にわたる中生代の地層"
映画,トマールのキリスト騎士団の修道院,ポルトガル,(ⅰ)(ⅵ),,,,,,サンタ・バルバラ回廊,マヌエル様式,「テリー・ギリアムのドン・キホーテ」
映画,青海フフシル（可可西里）,中国,(ⅶ)(ⅹ),,,,,チベットカモシカ（チルー）,,,「ココシリ」
映画,セゴビアの旧市街とローマ水道橋,スペイン,(ⅰ)(ⅲ)(ⅳ),,,,,,アルカサル,,「白雪姫」
海賊,シダーデ・ヴェーリャ、リベイラ・グランデの歴史地区,カーボヴェルテ,(ⅱ)(ⅲ)(ⅳ),,,,フランシス・ドレーク,,,,"ヨーロッパ諸国初の熱帯地域における植民都市
 クレオール文化"
海賊,パナマのカリブ海側の要塞群：ポルトベロとサン・ロレンツォ,パナマ,(ⅰ)(ⅳ),危機遺産,,,バッティスタ・アントネッリ,,サン・ロレンツォ要塞,,ヘンリー・モーガンなどの襲撃を受け要塞は何度も修復された
海賊,カルタヘナの港、要塞、歴史的建造物群,コロンビア,(ⅳ)(ⅵ),,,,フランシス・ドレーク,,,,ペドロ・デ・エレディアによって建設された港湾都市
海賊,アゾレス諸島の港町アングラ・ド・エロイズモ,ポルトガル,(ⅳ)(ⅵ),,,,,,"サン・セバスチアン要塞
 レデントール・デ・セ大聖堂",,
海賊,イビサ島の生物多様性と文化,スペイン,(ⅱ)(ⅲ)(ⅳ)(ⅸ)(ⅹ),,,,,ポシドニア・オセアニカ,プッチ・フダス・ムリンス,,ダルト・ビラにはアラブ風の街並や海賊対策の城壁が残されている
海賊,歴史的要塞都市カンペチェ,メキシコ,(ⅱ)(ⅳ),,,,フランシス・ドレーク,,,バロック様式,
海賊,ハバナの旧市街と要塞群,キューバ,(ⅳ)(ⅴ),,,,,,"フエルサ要塞
 モロ要塞",バロック様式,
海賊,パナマ・ビエホ考古遺跡とパナマの歴史地区,パナマ,(ⅱ)(ⅳ)(ⅵ),,,,ヘンリー・モーガン,,,コロニアル風,
嗜好品（コーヒー、茶、酒、たばこ）,サン・テミリオン地域,フランス,(ⅲ)(ⅳ),文化的景観,,,アウグストゥス,,,,"サンティアゴ・デ・コンポステーラへの巡礼路が通っている
 ジョン欠地王がブドウとワインの生産を保護した"
嗜好品（コーヒー、茶、酒、たばこ）,ジャテツとザーツ・ホープの景観,チェコ,(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,,,世界中でビール製造の使用されているホップ品種
嗜好品（コーヒー、茶、酒、たばこ）,ラヴォー地域のブドウ畑,スイス,(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,シヨン城,,シトー会
嗜好品（コーヒー、茶、酒、たばこ）,ピエモンテのブドウ園の景観：ランゲ・ロエロとモンフェッラート,イタリア,(ⅲ)(ⅴ),文化的景観,,,,,,,エルトリア人とケルト人の交易地
嗜好品（コーヒー、茶、酒、たばこ）,コロンビアのコーヒー農園の文化的景観,コロンビア,(ⅴ)(ⅵ),文化的景観,,,,,,,100年を超えるコーヒー農園の伝統を表す
嗜好品（コーヒー、茶、酒、たばこ）,キューバ南東部におけるコーヒー農園発祥地の景観,キューバ,(ⅲ)(ⅳ),文化的景観,,,,,,,キューバで初めてのコーヒープランテーション跡
嗜好品（コーヒー、茶、酒、たばこ）,ファン・ネレ工場,オランダ,(ⅱ)(ⅳ),,,,,,,,ガラスと鉄が用いられた大面積のカーテンウォールを有する
嗜好品（コーヒー、茶、酒、たばこ）,インドの山岳鉄道群,インド,(ⅱ)(ⅳ),,,,,,"ダージリン・ヒマラヤ鉄道
 ニルギリ鉄道
 カールカ・シムラ－鉄道",,紅茶の輸出や避暑地への快適な移動
嗜好品（コーヒー、茶、酒、たばこ）,アルト・ドウロのワイン生産地域,ポルトガル,(ⅲ)(ⅳ)(ⅴ),文化的景観,,,,,,,ドウロ川上流に位置しする2000年の歴史を持つワイン生産地である
嗜好品（コーヒー、茶、酒、たばこ）,普洱（プーアル）の景邁山古茶林の文化的景観,中国,(ⅲ)(ⅴ),文化的景観,,,,,,,"林下栽培
 茶祖信仰"
嗜好品（コーヒー、茶、酒、たばこ）,ビニャーレス渓谷,キューバ,(ⅳ),文化的景観,,,,,,,モゴーテ（断崖）と呼ばれる石灰岩の岩山が点在
