地域,章,名称,国名,登録基準,場所,特殊遺産,時代・王朝,人種・民族,政治家,芸術家,生物,植物,構成資産,構成資産の詳細,美術品,建築・絵画の様式,文化,宗教,バイオーム,特徴
アジア,宗教・信仰関連遺産（仏教）,アジャンターの石窟寺院群,インド,(ⅰ)(ⅱ)(ⅲ)(ⅵ),,,グプタ朝,,,,,,"チャイティヤ窟
ヴィハーラ窟",,,,,,,
アジア,宗教・信仰関連遺産（仏教）,ヴッダガヤの大菩提寺,インド,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,,,アショーカ王,,,,金剛宝座,,,,,,,菩提樹と金剛宝座は石造の「欄循」という欄干で囲まれている
アジア,宗教・信仰関連遺産（仏教）,仏陀の聖地ルンビニー,ネパール,(ⅲ)(ⅵ),,,,マウリヤ朝,アショーカ王,,,,マーヤーデヴィ寺院,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,サーンチーの仏教遺跡,インド,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅳ)(ⅵ),,,,,アショーカ王,,,,ストゥーパ,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,ナーランダー・マハーヴィハーラの遺跡銀,インド,(ⅳ)(ⅵ),,,,,,,,,ヴィハーラ,,,,,,,インド亜大陸における最古の大学
アジア,宗教・信仰関連遺産（仏教）,バハルプールの仏教遺跡,バングラディシュ,(ⅰ)(ⅱ)(ⅵ),,,パーラ朝,,,,,,ソーマプラ大僧院,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,タフティ・バヒーの仏教遺跡とサリ・バロールの歴史的都市,パキスタン・イスラム,(ⅳ),,,クシャーン朝,,,,,,,,,ガンダーラ様式,,,,
アジア,宗教・信仰関連遺産（仏教）,ランギリ・ダンヴッラの石窟寺院,スリランカ,(ⅰ)(ⅵ),,,,,ワッダガーマニー・アバヤ,,,,,,,,,涅槃仏,,
アジア,宗教・信仰関連遺産（仏教）,聖地アヌラーダプラ,スリランカ,(ⅱ)(ⅲ)(ⅵ),,,,,マヒンダ,,,,菩提樹,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,聖地キャンディ,スリランカ,(ⅳ)(ⅵ),,,シンハラ王国,,,,,,ダラダーマーリガーワ寺院（仏歯寺）,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,バガン,ミャンマー,(ⅲ)(ⅳ)(ⅵ),,,バガン朝,,,,,,仏塔（パゴダ）,,,,,,,"仏教が政治をコントロールするための装置となったことも表している
3000以上の仏塔が立ち並んでいる"
アジア,宗教・信仰関連遺産（仏教）,ボロブドゥールの仏教寺院群,インドネシア,(ⅰ)(ⅱ)(ⅵ),,,シャイレンドラ朝,,,,,,,,,,,,,"ブッダの一生や仏教の教えを伝える
頂上の釣り鐘型のストゥーパは、立体曼荼羅のような姿をしている"
アジア,宗教・信仰関連遺産（仏教）,敦煌の莫高窟,中華人民共和国,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅴ)(ⅵ),,,,,,楽僔,,,,,,,,,,"シルクロードの中継地点として発展した
隣接する石窟から偶然見つかった資料は敦煌文書と呼ばれるようになった"
アジア,宗教・信仰関連遺産（仏教）,雲岡石窟,中華人民共和国,(ⅰ)(ⅱ)(ⅲ)(ⅳ),,,,,文成帝,伊藤忠太,,,,,,,,,,
アジア,宗教・信仰関連遺産（仏教）,龍門石窟,中華人民共和国,(ⅰ)(ⅱ)(ⅲ),,,,,孝文帝,,,,,,,,,,,石仏は繊細な装飾が施されている
アジア,宗教・信仰関連遺産（仏教）,大足石刻,中華人民共和国,(ⅰ)(ⅱ)(ⅲ),,,,,,,,,,,釈迦涅槃像,,,,,
アジア,宗教・信仰関連遺産（仏教）,五台山,中華人民共和国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,文化的景観,,,,,,,,,文殊菩薩,,,,,
アジア,宗教・信仰関連遺産（仏教）,「八萬大蔵経」版木所蔵の海印寺,大韓民国,(ⅳ)(ⅵ),,,,,,,,,,,,,,,,モンゴル軍侵攻という国難克服のために発願された
アジア,宗教・信仰関連遺産（仏教）,山寺（サンサ）：韓国の山岳僧院群,大韓民国,(ⅲ),,,,,,,,,通度寺,,,,,,,マダンという韓国特有の庭園を持っている
アジア,宗教・信仰関連遺産（仏教）,石窟庵と仏国寺,大韓民国,(ⅰ)(ⅳ),,,,,金大城,,,,,,如来坐像,,,,,
アジア,宗教・信仰関連遺産（イスラム教）,イスファハーンのマスジェデ・ジャーメ（金曜モスク）,イラン・イスラム,(ⅱ),,,セルジューク朝,,ニザーム・アル・ムルク,,,,オルジェイトゥ・ミフラーブ,,,4イーワーン,,,,
アジア,宗教・信仰関連遺産（イスラム教）,ジャームのミナレットと考古遺跡群,アフガニスタン・イスラム,(ⅱ)(ⅲ)(ⅳ),,危機遺産,ゴール朝,,,,,,,,,,,,,クーフィー体アラビア文字の刻印が見られる
アジア,宗教・信仰関連遺産（イスラム教）,デリーのクトゥブ・ミナールとその関連施設,インド,(ⅳ),,,奴隷王朝,,アイバク,,,,クッワト・アルイスラム・モスク,,,,,,,
アジア,宗教・信仰関連遺産（イスラム教）,中世アナトリアの木造多柱式モスク群,トルコ,(ⅱ)(ⅳ),,,,,,,,,,,,,,,,モンゴルの侵攻を受けて、木造多柱式モスクが築かれるようになった
アジア,宗教・信仰関連遺産（イスラム教）,ディヴリーイの大モスクと病院,トルコ,(ⅰ)(ⅳ),,,ルーム・セルジューク朝,,,,,,,,,,,,,
アジア,宗教・信仰関連遺産（イスラム教）,エディルネのセリミエ・モスクとその関連施設,トルコ,(ⅰ)(ⅳ),,,,,,ミマール・スィナン,,,,,,,,,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,プレア・ビヒア寺院,カンボジア,(ⅰ),,,,,スーリヤヴァルマン1世,,,,ゴープラ,,,,,,,"ヒンドゥー教の聖地
登録基準(ⅰ)のみで登録"
アジア,宗教・信仰関連遺産（ヒンドゥー教）,マハーバリプラムの建築と彫刻群,インド,(ⅰ)(ⅱ)(ⅲ)(ⅵ),,,パッラヴァ朝,,,,,,5つのラタ（山車）,,,,,,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,大チョーラ朝寺院群,インド,(ⅱ)(ⅲ),,,チョーラ朝,,,,,,ブリハディーシュワラ寺院,,,ドラヴィタ様式,,,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,パッタダカルの寺院群,インド,(ⅲ)(ⅳ),,,チャールキヤ朝,,,,,,ヴィルーバークシャ寺院,,,,,,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,テランガナ州にあるカカーティヤ時代のルドレシュワラ（ラマッパ）寺院,インド,(ⅰ)(ⅲ),,,,,レチャーラ・ルドラ,,,,ヴィマーナ,,,,,,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,ホイサラ様式の信仰関連遺産群,インド,(ⅰ)(ⅱ)(ⅵ),,,,,,,,,,,,,,,,"星形の聖堂と基壇
緻密でリアルな彫刻"
アジア,宗教・信仰関連遺産（ヒンドゥー教）,エレファンタ島の石窟寺院群,インド,(ⅰ)(ⅲ),,,,,,,,,,,三面のシヴァ神の胸像,,,,,ポルトガル人が上陸し巨大な像の石像を発見したことが由来
アジア,宗教・信仰関連遺産（ヒンドゥー教）,コラーナクのスーリヤ寺院,インド,(ⅰ)(ⅲ)(ⅵ),,,東ガンガ朝,,,,,,,,,,,太陽神スーリヤ,,
アジア,宗教・信仰関連遺産（ヒンドゥー教）,ミーソン聖域,ベトナム,(ⅱ)(ⅲ),,,チャンパー王国,,バードラヴァルマン1世,,,,,,,,,シヴァ神,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,イエス生誕の地：ベツレヘムの聖誕教会と巡礼路,パレスチナ,(ⅳ)(ⅵ),,,,,,,,,聖誕教会,,,,,"カトリック
アルメニア正教会
ギリシャ正教会",,漏水による建物破損などのため「緊急的登録推薦」で登録された
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,イエス洗礼の地「ヨルダン川対岸のベタニア」（アル・マグダス）,ヨルダン・ハシェミット,(ⅲ)(ⅵ),,,,,洗礼者ヨハネ,,,,"テル・アル・カッラール
ヨハネ教会群地区",,,,,,,"イエスが洗礼者ヨハネから洗礼を受けたと信じられている場所
ローマ帝国がキリスト教を国教とした4世紀以降繁栄を遂げた"
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,ゴアの聖堂と修道院,インド,(ⅱ)(ⅳ)(ⅵ),,,,,,フランシスコ・ザビエル,,,ボン・ジェズス・バシリカ,,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,フィリピンのバロック様式の教会群,フィリピン,(ⅱ)(ⅳ),,,,,,,,,サン・アグスティン教会,,,地震のバロック,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,イランのアルメニア教会修道院群,イラン・イスラム,(ⅱ)(ⅲ)(ⅵ),,,,,,,,,聖タデウス修道院,,,,,アルメニア正教,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,ハイファと西ガリラヤのバハイ教聖所群,イスラエル,(ⅲ)(ⅵ),,,,,,,,,バハウッラーの霊廟,,,,,バーブ教,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,バアルベック,レバノン,(ⅰ)(ⅳ),,,,フェニキア人,,,,,ユピテル神殿,,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,タフテ・ソレイマーン,イラン・イスラム,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,,ササン朝,,アルダシール1世,,,,,,,,,ゾロアスター教,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,登封の歴史的建造物群‐天地之中,中華人民共和国,(ⅲ)(ⅵ),,,,,,,,,嵩山（少林寺）,,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,天壇：北京の皇帝祭壇,中華人民共和国,(ⅰ)(ⅱ)(ⅲ),,,,,永楽帝,,,,祈念殿,,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,武当山の道教寺院群,中華人民共和国,(ⅰ)(ⅱ)(ⅵ),,,,,永楽帝,,,,,,,,,,,道教の神である真武大帝が修行した場所
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,曲阜の孔廟、孔林、孔府,中華人民共和国,(ⅰ)(ⅳ)(ⅵ),,,,,,孔子,,,"孔廟
孔林
孔府",,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,書院：韓国の性理学教育機関群,大韓民国,(ⅲ),,,,,士林派,,,,紹修書院,,,,,,,
アジア,宗教・信仰関連遺産（その他の宗教・信仰）,グレート・ブルカン・カルドゥン山と周辺の聖なる景観,モンゴル,(ⅳ)(ⅵ),,,,,チンギス・ハン,,,,,,,,,オボー,,
アジア,先史時代,チャタル・ヒュユクの新石器時代の遺跡,トルコ,(ⅲ)(ⅳ),,,,,,,,,東西2つの遺丘（テル）,,,,,,,"人類最初期の定住生活や農耕生活を伝える遺跡
密集して立つ住居と住居の間には道がない"
アジア,先史時代,アルスランペテの遺丘,トルコ,(ⅲ),,,後期金石併用時代（銅器時代）,,,,,,,,,,,,,"文字の誕生に先立って官僚制度が登場した過程を示している
初期ウルク期とも同時期にあたる"
アジア,先史時代,カルメル山の人類の進化を示す遺跡群：ナハル・メアロット/ワディ・エル・ムガラ洞窟,イスラエル,(ⅲ)(ⅴ),,,,,,,,,,,,,"ムスティエ文化
ナトゥーフ文化",,,
アジア,先史時代,北京原人化石出土の周口店遺跡,中華人民共和国,(ⅲ)(ⅵ),,,旧石器時代,シナントロプス・ペキネンシス,,,,,,,,,,,,
アジア,先史時代,人類化石出土のサンギラン遺跡,インドネシア,(ⅲ)(ⅵ),,,,ホモ・エレクトゥス・エレクトゥス,,,,,,,,,,,,世界で発見された初期人類化石の半数に及ぶ
アジア,先史時代,レンゴン渓谷の考古遺跡,マレーシア,(ⅲ)(ⅳ),,,,ぺラ・マン,,,,,,,,,,,,アフリカ大陸以外で発見された初期人類の集団住居の形跡を示す最古の証拠の1つ
アジア,先史時代,バンチェンの考古遺跡,タイ,(ⅲ),,,,,,,,,,,,,,,,"世界史上でも比較的早期に稲作が行われていた
彩文土器が発見されたことで発掘が本格化した"
アジア,先史時代,良渚古城遺跡,中華人民共和国,(ⅲ)(ⅳ),,,,,,,,,,,,,,,,"社会階層に従って異なる埋葬方法が採られていた
宗教的な祭壇や信仰体系をあらわす多様な玉器も見つかっている"
アジア,先史時代,サラズム：原始都市遺跡,タジキスタン,(ⅱ)(ⅲ),,,,,,,,,,,,,,,ステップ,中央アジアにおける人類の定住の歴史を物語る考古遺跡
アジア,先史時代,ジャール平原：シェンクワーン県の巨大石壺遺跡群,ラオス,(ⅲ),,,,,,マドレーヌ・コラーニ,,,,,1325個の巨大石壺,,,,,
アジア,先史時代,ギョベクリ・テペ,トルコ,(ⅰ)(ⅱ)(ⅳ),,,先土器新石器時代,,,,,,,,T字型の石柱,,,,,巨石構造物は宗教的な儀式に使用されていたのではないかと考えられている
アジア,先史時代,鹿石と関連する青銅器時代の遺跡群,モンゴル,(ⅰ)(ⅲ),,,,,,,,,ジャルガランティン・アム遺跡,,,,,,,鹿石はへレクスルや生贄の祭壇、馬の骨などとともに出土することが多い
アジア,先史時代,古代エリコ/テル・エッ・スルタン,パレスチナ,(ⅲ)(ⅳ),,,,,,,,,,,,,,,,"強固な城壁で囲われた都市、宮殿や神殿も建てられた
レバント地域での新石器化と定住生活の起こり等を示している"
アジア,岩絵、洞窟壁画,ヒマーの文化地域,サウジアラビア,(ⅲ),,,,,,,,,"ビール・ヒマー
ジャバル・ズィバーフ",,,,,,,ナジュラーン州には、7000年にわたって描かれてきた岩絵や岩壁碑文が残る
アジア,岩絵、洞窟壁画,サウジアラビアのハーイル地方にある壁画,サウジアラビア,(ⅰ)(ⅲ),,,,,,,,,ジャバル・ウンム・シンマン,,ラクダの絵,,,,,
アジア,岩絵、洞窟壁画,モンゴルのアルタイ山脈にある岩画面群,モンゴル,(ⅲ),,,,,,,,,,,,,,,森林ステップ,"気候変動に伴い狩猟に適した環境だった
中期の岩絵から狩猟採集から牧畜や放牧へと移行したことが見てとれる"
アジア,岩絵、洞窟壁画,ゴブスタン・ロック・アートの文化的景観,アゼルバイジャン,(ⅲ),,文化的景観,,,,,,,,,,,,,,"一万年前から人が住んでいた
以前は温暖で湿潤だった"
アジア,岩絵、洞窟壁画,タンバリの考古的景観にある岩絵群,カザフスタン,(ⅲ),,文化的景観,,,,,,,,,神格化された太陽像,,,,,遊牧民の農耕や社会組織、儀式の形態の特徴や差異を推測できる
アジア,岩絵、洞窟壁画,左江花山の岩絵の文化的景観,中華人民共和国,(ⅲ)(ⅵ),,,,駱越人,,,,,,,,,,,,祭礼の際に銅鼓を演奏する人々
アジア,岩絵、洞窟壁画,ビンベットカのロック・シェルター群,インド,(ⅲ)(ⅴ),,文化的景観,,,,,,,,,,,,,,"古い絵の上に新しい絵が重ねて描かれている
壁画に描かれたような文化的伝統が今でも見られる"
アジア,水利灌漑・産業関連遺産,京杭大運河,中華人民共和国,(ⅰ)(ⅲ)(ⅳ)(ⅵ),,,隋朝,,煬帝,,,,通済渠/永済渠/江南河,黄河と淮河を結ぶ/黄河と天津を結ぶ/長江から杭州を結ぶ,,,,,,
アジア,水利灌漑・産業関連遺産,ペルシアのカナート,イラン・イスラム,(ⅲ)(ⅳ),,,,,,,,,,,,,,,,"公平で持続可能な水の分配を可能にした
イランの乾燥地帯に古代より農業と定住をもたらした地下水路"
アジア,水利灌漑・産業関連遺産,ラ二・キ・ヴァヴ：グジャラト州パタンにある王妃の階段井戸,インド,(ⅰ)(ⅳ),,,チャウルキヤ朝,,ピーマ1世,,,,,,,,,,,水の神聖性を祀った寺院としての機能も併せ持った
アジア,水利灌漑・産業関連遺産,青城山と都江堰水利施設,中華人民共和国,(ⅱ)(ⅳ)(ⅵ),,,,,,張陵,,,岷江,,,,,,,
アジア,水利灌漑・産業関連遺産,シューシュタルの歴史的水利システム,イラン・イスラム,(ⅰ)(ⅱ)(ⅴ),,,ササン朝ペルシア,,,,,,ギャルギャル運河,,,,,,,
アジア,水利灌漑・産業関連遺産,アフラージュ‐オマーンの灌漑システム,オマーン,(ⅴ),,,,,,,,,,,,,,,,"ファラジの複数形を意味する
天文観測をもとに運営されている"
アジア,水利灌漑・産業関連遺産,ペルシア湾の真珠産業関連遺産：島嶼経済の証拠,バーレーン,(ⅲ),,,,,,,,,ブ・マヒール海岸,,,,,,,日本が開発した養殖真珠によって、周辺一帯での真珠産業は大打撃を受け終焉を迎えた
アジア,水利灌漑・産業関連遺産,イラン縦貫鉄道,イラン・イスラム,(ⅱ)(ⅳ),,,パフレヴィー朝時代,,,,,,,,,,,,,"外国による投資と支配を避けるため、建設資金はすべて国内の資本で賄った
ペルシャ湾からソ連へと至る補給路はペルシャ回廊と呼ばれた"
アジア,水利灌漑・産業関連遺産,インドの山岳鉄道群,インド,(ⅱ)(ⅳ),,,,,,,,,"ダージリン・ヒマラヤ鉄道
ニルギリ鉄道
カールカ＝シムラー鉄道",,,,,,,紅茶の輸出や避暑地への快適な移動を目的とした
アジア,水利灌漑・産業関連遺産,サワルントのオンビリン炭鉱遺産,インドネシア,(ⅱ)(ⅳ),,,,,,,,,,,,,,,,"オランダ植民地政府によって開発された
採炭から製造、輸出、出荷までが一体となったシステム"
アジア,学術関連、近現代の遺産,ジャイプールのジャンタル・マンタル‐マハラジャの天文台,インド,(ⅲ)(ⅳ),,,,,ジャイ・シング2世,,,,サムラート・ヤントラ,,,,,,,20以上の建造物からなる天体観測施設群
アジア,学術関連、近現代の遺産,シンガポール植物園,シンガポール,(ⅱ)(ⅳ),,文化的景観,,,,ローレンス・ニーベン,,,,,,,,,,ゴムのプランテーションの栽培とは深い関係がある
アジア,学術関連、近現代の遺産,シャンティニケタン,インド,(ⅳ)(ⅵ),,,,,,ラビンドラナート・タゴール,,,,,,,,,,インド独自の総合芸術をあらわしている
アジア,学術関連、近現代の遺産,ムンバイにあるヴィクトリア朝ゴシックとアール・デコの建造物群,インド,(ⅱ)(ⅳ),,,,,,,,,,,,"ゴシック・リバイバル様式
インド・デコ",,,,
アジア,学術関連、近現代の遺産,チャトラパティ・シヴァージー・ターミナス駅（旧名ヴィクトリア・ターミナス）,インド,(ⅱ)(ⅳ),,,,,,F・W・スティーヴンス,,,,,,ゴシック・リバイバル様式,,,,インドの伝統的な建築様式と、英国のヴィクトリア朝時代のゴシック・リバイバル様式を融合させた
アジア,学術関連、近現代の遺産,テル・アビーブの近代都市ホワイト・シティ,イスラエル,(ⅱ)(ⅳ),,,,,,パトリック・ゲデス,,,,,,モダニズム建築,,,,
アジア,学術関連、近現代の遺産,トリポリのラシード・カラーミー国際見本市会場,レバノン,(ⅱ)(ⅳ),,危機遺産,,,,オスカー・ニーマイヤー,,,,,,,,,,レバノン内戦が勃発すると建設は中断された
アジア,文化的景観,バーミヤン渓谷の文化的景観と古代遺跡群,アフガニスタン・イスラム,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,"文化的景観
負の遺産
危機遺産",バクトリア,,,,,,,,"磨崖仏
仏龕",ガンダーラ美術,,,,
アジア,文化的景観,バリの文化的景観：バリ・ヒンドゥー哲学・トリ・ヒタ・カラナを表す水利システム「スバック」,インドネシア,(ⅲ)(ⅴ)(ⅵ),,文化的景観,,,,,,,"バトゥール湖
タマン・アユン寺院",,,,,,,スバックという寺院に集められた水を分け合う水利システム
アジア,文化的景観,ペルシア庭園,イラン・イスラム,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅵ),,文化的景観,,,キュロス2世（大キュロス）,,,,,,,四分庭園（チャハル・バーグ）,,,,カナートによって山麓から水を運び、園内四方に水路を延ばすことができた
アジア,文化的景観,杭州にある西湖の文化的景観,中華人民共和国,(ⅱ)(ⅲ)(ⅵ),,文化的景観,南宋,,,,,,"蘇堤
西湖十景",,,,,,,
アジア,文化的景観,ディヤルバクル要塞とへヴセル庭園群の文化的景観,トルコ,(ⅳ),,文化的景観,,,,,,,イチカレ,,,,,,,食料と水を都市にする供給するティグリス川流域と都市が深い関係にある
アジア,文化的景観,アル・アハサ・オアシス：進化する文化的景観,サウジアラビア,(ⅲ)(ⅳ)(ⅴ),,文化的景観,,,,,,,,,,,,イスラム教カルマト派,,ナツメヤシが生育する世界最大のオアシスでもある
アジア,文化的景観,バムとその文化的景観,イラン・イスラム,(ⅱ)(ⅲ)(ⅳ)(ⅴ),,文化的景観,,,,,,,アルゲ・バム,,,,,,,2003年の大地震で壊滅的な被害を受けた
アジア,文化的景観,メイマンドの文化的景観,イラン・イスラム,(ⅴ),,文化的景観,,,,,,,,,,,,,,家畜ではなく人が移動する半農半牧の生活
アジア,文化的景観,ホーラマン/ウラマナトの文化的景観,イラン・イスラム,(ⅲ)(ⅴ),,文化的景観,,ホーラミ人,,,,,,,,,,,,ハヴァルと呼ばれる簡易的な住居で暮らす半農半牧生活
アジア,文化的景観,キナリグ人の文化的景観と移牧の道「カッチ・ヨル」,アゼルバイジャン,(ⅲ)(ⅴ),,文化的景観,,キナリグ人,,,,,"ヤイラク
キシュラク",,,,,,,ヤイラクとキシュラクで半農半牧生活を営む
アジア,文化的景観,普洱（プーアル）の景邁山古茶林の文化的景観,中華人民共和国,(ⅲ)(ⅴ),,文化的景観,,,,,,,,,,,,茶祖信仰,,林下栽培という手法で茶の生産を行う
アジア,文化的景観,紅河ハニ族棚田群の文化的景観,中華人民共和国,(ⅲ)(ⅴ),,文化的景観,,,,,,,,,,,,,,"自然環境を利用した独自の灌漑システム
赤米をつくる棚田と伝統的な生活を守り続けてきた"
アジア,文化的景観,フィリピンのコルディリェーラの棚田群,フィリピン,(ⅲ)(ⅳ)(ⅴ),,文化的景観,,イフガオ族,,,,,,,,,,,,山岳地帯における持続可能な農業を表現している
アジア,文化的景観,オリーヴとワインの土地‐バッティールの丘：南エルサレムの文化的景観,パレスチナ,(ⅳ)(ⅴ),,"文化的景観
危機遺産",,,,,,,ウィディアン,,,,,,,分離壁が完成すると農民たちが自分の土地へ入ることが禁じられる可能性があった
アジア,文化的景観,廬山国立公園,中華人民共和国,(ⅱ)(ⅲ)(ⅳ)(ⅵ),,文化的景観,,,,"李白
杜甫
白居易",,,白鹿洞書院,朱熹が再建した,,,,,,毛沢東が廬山会議を開いた
アジア,文化的景観,オルホン渓谷の文化的景観,モンゴル,(ⅱ)(ⅲ)(ⅳ),,文化的景観,,,,,,,オルホン碑文,,,,,,,モンゴル帝国の首都カラコルムの遺跡など多数の遺跡が残る
アジア,文化的景観,聖山スレイマン・トー,キルギス,(ⅲ)(ⅵ),,文化的景観,,,,,,,,,,,,,,民間信仰とイスラム教信仰が混在する中央アジアの聖山の典型ともいえる
アジア,文化的景観,チャムパーサックの文化的景観にあるワット・プーと関連古代遺跡群,ラオス,(ⅲ)(ⅳ)(ⅵ),,文化的景観,,クメール人,,,,,,,,,,,,
アジア,文化的景観,カディーシャ渓谷（聖なる谷）と神の杉の森（ホルシュ・アルツ・エルラブ）,レバノン,(ⅲ)(ⅳ),,文化的景観,,,,,,レバノン杉,,,,,,,,
アジア,複合遺産,泰山,中華人民共和国,(ⅰ)(ⅱ)(ⅲ)(ⅳ)(ⅴ)(ⅵ)(ⅶ),,,,,,,,,岱廟,,,,,東岳大帝,,"登録基準(ⅰ)から(ⅶ)までの全てを認められている唯一の世界遺産
「史記」によると始皇帝がこの山で「封禅」という儀式を行った"
アジア,複合遺産,黄山,中華人民共和国,(ⅱ)(ⅶ)(ⅹ),,,,,玄宗,,,黄山松,黄山四絶,奇松/怪石/雲海/温泉,,,,,,
アジア,複合遺産,武夷山,中華人民共和国,(ⅲ)(ⅵ)(ⅶ)(ⅹ),,,,,,,,,"九曲渓
天遊峰",,,,,,,
アジア,複合遺産,峨眉山と楽山大仏,中華人民共和国,(ⅳ)(ⅵ)(ⅹ),,,,,,,アジア・ゴールデンキャット,,,,,,,,,世界最大の磨崖仏である楽山大仏が鎮座する
アジア,複合遺産,カンチェンジュンガ国立公園,インド,(ⅲ)(ⅵ)(ⅶ)(ⅹ),,,,,,,,,カンチェンジュンガ山,,,,,,,神話が伝える神聖さや教訓は仏教の教えと同化し、シッキムの民の文化の礎となった
アジア,複合遺産,チャン・アンの景観関連遺産群,ベトナム,(ⅴ)(ⅶ)(ⅷ),,,,,,,,,ホア・ルー,,,,,,,石灰岩の山や鍾乳洞からなる熱帯カルスト地形が広がる
アジア,複合遺産,イラク南部のアフワル：生物多様性の保護地域とメソポタミアの都市の残存景観,イラク,(ⅲ)(ⅴ)(ⅸ)(ⅹ),,,,湿原のアラブ人,,,,,"ウル
ウルク
エリドゥ",,,,,,,世界最大の内陸デルタ地帯の1つ
アジア,複合遺産,ギョレメ国立公園とカッパドキアの岩石群,トルコ,(ⅰ)(ⅲ)(ⅴ)(ⅶ),,,,,,,,,ギョレメ渓谷/カイマルクとデリユンクの地下都市,キリスト教徒たちが身を潜めた/何層にも積み重なった床が階段でつながれている,,,,,,ビザンツ帝国のイコン破壊運動やトルコのイスラム教化をきっかけに、キリスト教徒は数を増した
アジア,複合遺産,ワディ・ラム保護地域,ヨルダン・ハシェミット,(ⅲ)(ⅴ)(ⅶ),,,,,,,,,,,,,,,,"2万5000に達する岩面彫刻が発見されている
砂漠特有の景観で知られる"
アジア,複合遺産,ヒエラポリスとパムッカレ,トルコ,(ⅲ)(ⅳ)(ⅶ),,,アッタロス朝,,,,,,マルティリウム,,,,,,,
アジア,自然の景観美,サガルマータ国立公園,ネパール,(ⅶ),,,,シェルパ族,,,ユキヒョウ,,,,,,,,,イエローバンドが発見されている
アジア,自然の景観美,九寨溝：歴史的・景観的重要地区,中華人民共和国,(ⅶ),,,,,,,,,五花海,,,,,,,"ジャイアントパンダの保護区の1つ
棚田城に連なる湖は、炭酸カルシウムの堆積で生じたトゥファによって区切られた"
アジア,自然の景観美,ナンダ・デヴィ国立公園,インド,(ⅶ)(ⅹ),,,,,,,,,,,,,,女神ナンダ,,環境保護の学術調査以外の入山が禁止された
アジア,自然の景観美,黄龍：歴史的・景観的重要地区,中華人民共和国,(ⅶ),,,,,,,,,"黄龍彩池群
石塔鎮海",,,,,,,
アジア,自然の景観美,新疆天山,中華人民共和国,(ⅶ)(ⅸ),,,,,,,,,"トムール山
ボグダ山",,,,,,,
アジア,自然の景観美,武陵源：歴史的・景観的重要地区,中華人民共和国,(ⅶ),,,,,,,チュウゴクオオサンショウウオ,,,,,,,,,珪岩の柱が3000本以上林立する山岳地帯
アジア,自然の景観美,三清山国立公園,中華人民共和国,(ⅶ),,,,,,,,,懐玉山,,,,,,温帯林,
アジア,自然の景観美,中国の丹霞地形,中華人民共和国,(ⅶ)(ⅷ),,,,,,,,,,,,,,,亜熱帯地帯,赤い堆積岩が織りなす景観が広がる
アジア,自然の景観美,ルート砂漠,イラク・イスラム,(ⅶ)(ⅷ),,,,,,,,,,,,,,,,"ヤルダンと呼ばれる特異な形状の岩石群が形成された
ネブカといわれる植物の周りにできる砂丘も特徴"
アジア,自然の景観美,プエルト・プリンサ地下河川国立公園,フィリピン,(ⅶ)(ⅹ),,,,,,,パラワンヤマアラシ,,,,,,,,,パラワン島にある世界最長の地下河川が流れる
アジア,地球生成の歴史,ハ・ロン湾とカット・バ諸島,ベトナム,(ⅶ)(ⅷ),,,,,,,ゴールデンヘッドラングール,,,,,,,,,"バッファーゾーンでの大規模な観光開発、環境汚染、農地拡大、石炭発掘による水質悪化が問題
中国南西部の石灰岩台地が沈み、海上に残った部分が溶食されてできたもの"
アジア,地球生成の歴史,中国南部のカルスト地形,中華人民共和国,(ⅶ)(ⅷ),,,,,,,,,箐口天坑,,,,,,ドリーネ,世界最大級のカルスト地帯で中生代三畳紀から形成されている
